# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
184	25588176	14	4098187	6869869
185	25647559	13	4089209	6881108
186	25706792	12	4098230	6892265
187	25765877	12	4089349	6903341
188	25824814	11	4098274	6914338
189	25883606	10	4089489	6925255
190	25942253	10	4098320	6936093
191	26000756	9	4089629	6838672
192	26059116	9	4098367	6849562
193	26117334	9	4089768	6860375
194	26175412	8	4098416	6871112
195	26233351	8	4089906	6881773
196	26291151	7	4098466	6892360
197	26348813	7	4090045	6902873
198	26406339	7	4098517	6913314
199	26463729	6	4090182	6923683
200	26520985	6	4098570	6933980
201	26578107	6	4090319	6841425
202	26635097	6	4098623	6851774
203	26691955	5	4090456	6862052
204	26748682	5	4098677	6872262
205	26805279	5	4090592	6882402
206	26861748	5	4098733	6892475
207	26918089	5	4090727	6902480
208	26974302	4	4098789	6912419
209	27030389	4	4090861	6922293
210	27086351	4	4098846	6932101
211	27142188	4	4090995	6843942
212	27197902	4	4098903	6853800
213	27253493	4	4091128	6863595
214	27308962	4	4098961	6873326
215	27364310	3	4091261	6882995
216	27419537	3	4099020	6892601
217	27474645	3	4091393	6902146
218	27529634	3	4099080	6911630
219	27584505	3	4091524	6921054
220	27639259	3	4099139	6930418
221	27693897	3	4091654	6846249
222	27748419	3	NaN	NaN
223	27802826	3	NaN	NaN
224	27857119	3	NaN	NaN
225	27911298	2	NaN	NaN
226	27965365	2	NaN	NaN
227	28019320	2	NaN	NaN
228	28073163	2	NaN	NaN
229	28126896	2	NaN	NaN
230	28180519	2	NaN	NaN
231	28234033	2	NaN	NaN
232	28287439	2	NaN	NaN
233	28340736	2	NaN	NaN
234	28393927	2	NaN	NaN
235	28447011	2	NaN	NaN
236	28499989	2	NaN	NaN
237	28552862	2	NaN	NaN
238	28605630	2	NaN	NaN
239	28658295	2	NaN	NaN
240	28710856	2	NaN	NaN
241	28763314	2	NaN	NaN
242	28815671	2	NaN	NaN
243	28867926	2	NaN	NaN
244	28920080	2	NaN	NaN
245	28972134	2	NaN	NaN
