# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
171	24888447	1746160	4184132	6959549
172	24949644	1741843	4192197	6971434
173	25010676	1737543	4184132	6983224
174	25071544	1733261	4192082	6994923
175	25132249	1728995	4184132	7006531
176	25192793	1724746	4191971	7018049
177	25253176	1720514	4184133	7029479
178	25313400	1716298	4191863	7040823
179	25373467	1712099	4184134	7052081
180	25433378	1707916	4191759	7063254
181	25493134	1703749	4184137	6962821
182	25552736	1699598	4191658	6974039
183	25612185	1695463	4184139	6985173
184	25671484	1691344	4191560	6996224
185	25730632	1687241	4184143	7007192
186	25789631	1683153	4191465	7018080
187	25848482	1679081	4184147	7028888
188	25907187	1675024	4191373	7039617
189	25965746	1670982	4184151	7050269
190	26024161	1666956	4191283	7060844
191	26082433	1662944	4184156	6965791
192	26140563	1658948	4191196	6976414
193	26198551	1654966	4184161	6986961
194	26256399	1650999	4191112	6997432
195	26314109	1647047	4184166	7007828
196	26371681	1643109	4191031	7018152
197	26429115	1639186	4184172	7028402
198	26486414	1635277	4190951	7038581
199	26543578	1631382	4184178	7048689
200	26600608	1627502	4190874	7058728
201	26657505	1623635	4184185	6968500
202	26714270	1619783	4190799	6978588
203	26770904	1615944	4184191	6988607
204	26827408	1612119	4190727	6998556
205	26883783	1608308	4184198	7008438
206	26940029	1604510	4190656	7018253
207	26996149	1600726	4184206	7028002
208	27052141	1596955	4190587	7037685
209	27108009	1593198	4184213	7047304
210	27163751	1589454	4190521	7056859
211	27219370	1585723	4184221	6970980
212	27274866	1582005	4190456	6980585
213	27330240	1578300	4184229	6990127
214	27385492	1574608	4190392	6999605
215	27440624	1570929	4184237	7009022
216	27495637	1567262	4190331	7018377
217	27550530	1563609	4184245	7027671
218	27605306	1559968	4190271	7036906
219	27659964	1556339	4184253	7046081
220	27714506	1552723	4190213	7055197
221	27768932	1549119	4184262	6973259
