# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,0.95,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	0.95	0.5	0.1
170	24827082	3068807	4192316	7066019
171	24888447	3067510	4184132	6959549
172	24949644	3066220	4192197	6971434
173	25010676	3064939	4184132	6983224
174	25071544	3063664	4192082	6994923
175	25132249	3062397	4184132	7006531
176	25192793	3061137	4191971	7018049
177	25253176	3059885	4184133	7029479
178	25313400	3058639	4191863	7040823
179	25373467	3057400	4184134	7052081
180	25433378	3080810	4191759	7063254
181	25493134	3079587	4184137	6962821
182	25552736	3078372	4191658	6974039
183	25612185	3077164	4184139	6985173
184	25671484	3075962	4191560	6996224
185	25730632	3074768	4184143	7007192
186	25789631	3073580	4191465	7018080
187	25848482	3072398	4184147	7028888
188	25907187	3071223	4191373	7039617
189	25965746	3070055	4184151	7050269
190	26024161	3068892	4191283	7060844
191	26082433	3067736	4184156	6965791
192	26140563	3066586	4191196	6976414
193	26198551	3065442	4184161	6986961
194	26256399	3064303	4191112	6997432
195	26314109	3063171	4184166	7007828
196	26371681	3062044	4191031	7018152
197	26429115	3060922	4184172	7028402
198	26486414	3059806	4190951	7038581
199	26543578	3058696	4184178	7048689
200	26600608	3079696	4190874	7058728
201	26657505	3078601	4184185	6968500
202	26714270	3077512	4190799	6978588
203	26770904	3076429	4184191	6988607
204	26827408	3075351	4190727	6998556
205	26883783	3074278	4184198	7008438
206	26940029	3073211	4190656	7018253
207	26996149	3072149	4184206	7028002
208	27052141	3071092	4190587	7037685
209	27108009	3070040	4184213	7047304
210	27163751	3068993	4190521	7056859
211	27219370	3067951	4184221	6970980
212	27274866	3066914	4190456	6980585
213	27330240	3065881	4184229	6990127
214	27385492	3064853	4190392	6999605
215	27440624	3063830	4184237	7009022
216	27495637	3062811	4190331	7018377
217	27550530	3061796	4184245	7027671
218	27605306	3060786	4190271	7036906
219	27659964	3059780	4184253	7046081
220	27714506	3078812	4190213	7055197
221	27768932	3077822	4184262	6973259
222	27823244	3076836	4190156	6982426
223	27877441	3075855	4184270	6991534
224	27931525	3074878	4190101	7000585
225	27985496	3073906	4184279	7009579
226	28039355	3072938	4190047	7018516
227	28093103	3071974	4184288	7027398
228	28146740	3071014	4189995	7036224
229	28200268	3070059	4184297	7044996
230	28253687	3069107	4189943	7053713
231	28306997	3068159	4184306	6975360
232	28360199	3067215	4189894	6984128
233	28413295	3066275	4184315	6992842
234	28466284	3065339	4189845	7001503
235	28519167	3064406	4184324	7010111
236	28571946	3063477	4189798	7018667
237	28624619	3062551	4184333	7027172
238	28677190	3061629	4189752	7035625
239	28729657	3060710	4184342	7044028
240	28782021	3078100	4189706	7052381
241	28834284	3077197	4184351	6977304
242	28886446	3076298	4189663	6985707
243	28938507	3075402	4184360	6994060
244	28990467	3074510	4189620	7002363
245	29042329	3073622	4184369	7010618
246	29094092	3072737	4189578	7018825
247	29145756	3071855	4184379	7026984
248	29197323	3070977	4189537	7035096
249	29248792	3070102	4184388	7043161
250	29300166	3069231	4189497	7051179
251	29351443	3068362	4184397	6979108
252	29402625	3067497	4189458	6987175
253	29453712	3066635	4184406	6995196
254	29504705	3065775	4189420	7003172
255	29555604	3064919	4184415	7011103
256	29606410	3064066	4189383	7018988
257	29657123	3063216	4184424	7026830
258	29707744	3062368	4189346	7034627
259	29758273	3061523	4184433	7042381
260	29808712	3077520	4189311	7050092
261	29859060	3076691	4184443	6980786
262	29909318	3075865	4189276	6988545
263	29959486	3075042	4184452	6996260
264	30009565	3074222	4189242	7003933
265	30059556	3073405	4184461	7011565
266	30109458	3072591	4189208	7019154
267	30159273	3071780	4184470	7026702
268	30209001	3070971	4189176	7034210
269	30258642	3070165	4184479	7041676
270	30308197	3069362	4189144	7049103
271	30357667	3068561	4184487	6982352
272	30407051	3067763	4189113	6989825
273	30456351	3066967	4184496	6997258
274	30505566	3066174	4189082	7004651
275	30554697	3065384	4184505	7012006
276	30603745	3064595	4189053	7019321
277	30652710	3063809	4184514	7026598
278	30701593	3063026	4189023	7033837
279	30750393	3062245	4184523	7041038
280	30799112	3077045	4188995	7048201
281	30847749	3076279	4184531	6983816
282	30896306	3075516	4188967	6991024
283	30944783	3074756	4184540	6998195
284	30993179	3073997	4188939	7005329
285	31041496	3073242	4184548	7012427
286	31089734	3072488	4188912	7019488
287	31137893	3071737	4184557	7026514
288	31185974	3070989	4188886	7033503
289	31233977	3070242	4184565	7040457
290	31281902	3069498	4188860	7047375
291	31329750	3068756	4184573	6985188
292	31377522	3068016	4188834	6992150
293	31425217	3067278	4184582	6999078
294	31472836	3066542	4188810	7005971
295	31520380	3065808	4184590	7012830
296	31567849	3065076	4188785	7019655
297	31615242	3064347	4184598	7026446
298	31662562	3063619	4188761	7033203
299	31709807	3062893	4184606	7039927
300	31756978	3076652	4188738	7046618
301	31804076	3075941	4184614	6986477
302	31851102	3075233	4188715	6993210
303	31898054	3074526	4184622	6999911
304	31944934	3073822	4188692	7006579
305	31991743	3073120	4184630	7013215
306	32038479	3072419	4188670	7019820
307	32085145	3071721	4184638	7026392
308	32131740	3071025	4188648	7032933
309	32178264	3070330	4184646	7039442
310	32224718	3069637	4188627	7045920
311	32271102	3068946	4184653	6987689
312	32317416	3068257	4188606	6994209
313	32363661	3067570	4184661	7000698
314	32409838	3066884	4188585	7007156
315	32455946	3066200	4184669	7013584
316	32501985	3065518	4188565	7019982
317	32547957	3064837	4184676	7026351
318	32593861	3064158	4188545	7032689
319	32639698	3063480	4184683	7038998
320	32685468	3076325	4188525	7045277
321	32731171	3075663	4184691	6988833
322	32776808	3075002	4188506	6995152
323	32822378	3074343	4184698	7001443
324	32867883	3073686	4188487	7007705
325	32913323	3073031	4184705	7013938
326	32958697	3072377	4188468	7020143
327	33004007	3071725	4184712	7026319
328	33049252	3071074	4188450	7032468
329	33094433	3070426	4184719	7038588
330	33139550	3069778	4188432	7044681
331	33184603	3069132	4184726	6989914
332	33229592	3068488	4188415	6996045
333	33274519	3067845	4184733	7002149
334	33319383	3067204	4188397	7008227
335	33364184	3066564	4184740	7014277
336	33408923	3065925	4188380	7020300
337	33453600	3065288	4184747	7026297
338	33498215	3064652	4188363	7032268
339	33542769	3064017	4184754	7038211
340	33587261	3076052	4188347	7044129
341	33631693	3075433	4184760	6990936
342	33676064	3074814	4188330	6996891
343	33720375	3074197	4184767	7002820
344	33764625	3073582	4188314	7008724
345	33808816	3072968	4184774	7014602
346	33852947	3072356	4188299	7020455
347	33897018	3071745	4184780	7026283
348	33941031	3071135	4188283	7032085
349	33984984	3070527	4184787	7037863
350	34028879	3069919	4188268	7043615
351	34072716	3069314	4184793	6991905
352	34116495	3068709	4188253	6997694
353	34160216	3068106	4184799	7003458
354	34203879	3067504	4188238	7009199
355	34247484	3066903	4184805	7014915
356	34291033	3066303	4188223	7020607
357	34334525	3065704	4184812	7026275
358	34377960	3065107	4188209	7031919
359	34421339	3064510	4184818	7037540
360	34464661	3075823	4188195	7043137
361	34507928	3075241	4184824	6992825
362	34551139	3074661	4188181	6998457
363	34594294	3074081	4184830	7004066
364	34637394	3073503	4188167	7009652
365	34680439	3072926	4184836	7015215
366	34723429	3072351	4188153	7020756
367	34766365	3071776	4184842	7026273
368	34809246	3071203	4188140	7031768
369	34852073	3070631	4184847	7037240
370	34894846	3070060	4188127	7042690
371	34937566	3069490	4184853	6993699
372	34980232	3068921	4188114	6999183
373	35022845	3068353	4184859	7004645
374	35065404	3067786	4188101	7010086
375	35107911	3067220	4184865	7015504
376	35150365	3066656	4188089	7020901
377	35192767	3066092	4184870	7026276
378	35235116	3065529	4188076	7031630
379	35277414	3064966	4184876	7036962
380	35319660	3075631	4188064	7042272
381	35361854	3075083	4184881	6994532
382	35403996	3074536	4188052	6999876
383	35446088	3073990	4184887	7005199
384	35488128	3073445	4188040	7010501
385	35530118	3072902	4184892	7015782
386	35572057	3072359	4188028	7021043
387	35613945	3071818	4184897	7026284
388	35655784	3071277	4188016	7031503
389	35697572	3070737	4184903	7036702
390	35739310	3070199	4188005	7041881
391	35780999	3069661	4184908	6995325
392	35822639	3069124	4187994	7000536
393	35864229	3068588	4184913	7005727
394	35905770	3068053	4187983	7010899
395	35947262	3067519	4184918	7016050
396	35988705	3066985	4187972	7021182
397	36030100	3066453	4184923	7026295
398	36071447	3065921	4187961	7031387
399	36112745	3065389	4184928	7036460
400	36153995	3075468	4187950	7041514
401	36195198	3074950	4184933	6996083
402	36236353	3074434	4187939	7001167
403	36277461	3073918	4184938	7006233
404	36318521	3073404	4187929	7011280
405	36359534	3072890	4184943	7016309
406	36400500	3072378	4187919	7021318
407	36441420	3071866	4184948	7026309
408	36482293	3071355	4187909	7031281
409	36523119	3070845	4184953	7036234
410	36563900	3070335	4187898	7041168
411	36604634	3069827	4184958	6996806
412	36645322	3069319	4187889	7001771
413	36685965	3068812	4184962	7006718
414	36726562	3068305	4187879	7011647
415	36767114	3067800	4184967	7016558
416	36807620	3067295	4187869	7021451
417	36848081	3066790	4184972	7026326
418	36888498	3066287	4187860	7031183
419	36928869	3065783	4184976	7036022
420	36969197	3075330	4187850	7040843
421	37009479	3074840	4184981	6997498
422	37049718	3074351	4187841	7002349
423	37089912	3073863	4184986	7007182
424	37130062	3073376	4187832	7011999
425	37170169	3072890	4184990	7016798
426	37210232	3072404	4187823	7021580
427	37250251	3071919	4184994	7026345
428	37290227	3071435	4187814	7031093
429	37330160	3070952	4184999	7035823
430	37370050	3070469	4187805	7040537
431	37409897	3069987	4185003	6998161
432	37449701	3069505	4187796	7002903
433	37489463	3069024	4185008	7007628
434	37529182	3068544	4187787	7012337
435	37568859	3068064	4185012	7017030
436	37608493	3067585	4187779	7021706
437	37648086	3067107	4185016	7026366
438	37687637	3066629	4187770	7031010
439	37727146	3066151	4185021	7035636
440	37766614	3075213	4187762	7040247
441	37806040	3074749	4185025	6998796
442	37845425	3074285	4187754	7003434
443	37884768	3073822	4185029	7008057
444	37924071	3073359	4187746	7012663
445	37963333	3072898	4185033	7017254
446	38002554	3072437	4187738	7021830
447	38041735	3071976	4185037	7026389
448	38080875	3071517	4187730	7030933
449	38119974	3071058	4185041	7035461
450	38159034	3070599	4187722	7039973
451	38198053	3070141	4185045	6999405
452	38237033	3069684	4187714	7003944
453	38275973	3069227	4185049	7008468
454	38314873	3068770	4187706	7012977
455	38353733	3068315	4185053	7017471
456	38392555	3067859	4187699	7021950
457	38431337	3067404	4185057	7026413
458	38470079	3066950	4187691	7030862
459	38508783	3066496	4185061	7035295
460	38547448	3075114	4187684	7039713
461	38586074	3074673	4185065	6999990
462	38624662	3074232	4187677	7004434
463	38663211	3073791	4185069	7008864
464	38701722	3073352	4187669	7013280
465	38740194	3072913	4185073	7017680
466	38778628	3072474	4187662	7022067
467	38817025	3072036	4185077	7026439
468	38855383	3071599	4187655	7030796
469	38893704	3071162	4185081	7035139
470	38931987	3070726	4187648	7039467
471	38970232	3070290	4185084	7000552
472	39008440	3069855	4187641	7004906
473	39046611	3069420	4185088	7009245
474	39084745	3068985	4187634	7013571
475	39122842	3068551	4185092	7017883
476	39160901	3068118	4187628	7022181
477	39198924	3067685	4185096	7026465
478	39236911	3067252	4187621	7030735
479	39274860	3066819	4185099	7034991
480	39312773	3075030	4187614	7039233
481	39350650	3074609	4185103	7001093
482	39388491	3074189	4187608	7005359
483	39426295	3073770	4185107	7009613
484	39464064	3073351	4187601	7013852
485	39501797	3072933	4185110	7018079
486	39539493	3072515	4187595	7022292
487	39577155	3072098	4185114	7026492
488	39614780	3071681	4187588	7030678
489	39652370	3071265	4185117	7034851
490	39689925	3070849	4187582	7039010
491	39727445	3070434	4185121	7001613
492	39764929	3070018	4187576	7005796
493	39802379	3069604	4185124	7009966
494	39839794	3069190	4187570	7014124
495	39877173	3068776	4185128	7018269
496	39914518	3068362	4187564	7022400
497	39951829	3067949	4185131	7026519
498	39989105	3067536	4187558	7030625
499	40026347	3067123	4185135	7034718
500	40063554	3074958	4187552	7038798
501	40100727	3074557	4185138	7002114
502	40137866	3074156	4187546	7006217
503	40174971	3073756	4185142	7010308
504	40212043	3073357	4187540	7014386
505	40249080	3072958	4185145	7018452
506	40286084	3072559	4187535	7022506
507	40323054	3072161	4185149	7026547
508	40359991	3071763	4187529	7030576
509	40396895	3071365	4185152	7034592
510	40433765	3070968	4187523	7038595
511	40470602	3070572	4185155	7002597
512	40507406	3070175	4187518	7006623
513	40544177	3069779	4185159	7010637
514	40580915	3069384	4187512	7014639
515	40617621	3068988	4185162	7018630
516	40654293	3068593	4187507	7022608
517	40690933	3068198	4185165	7026575
518	40727541	3067804	4187501	7030529
519	40764116	3067409	4185169	7034472
520	40800659	3074897	4187496	7038402
521	40837170	3074514	4185172	7003062
